Key_poliflw,Alt_map,Type,CBS CODE,CBS NAAM,CBS PROVINCIE CODE,CBS PROVINCIE NAAM
Oegstgeest,Oegstgeest,Gemeente,GM0579,Oegstgeest,PV28,Zuid-Holland
Oirschot,Oirschot,Gemeente,GM0823,Oirschot,PV30,Noord-Brabant
Oisterwijk,Oisterwijk,Gemeente,GM0824,Oisterwijk,PV30,Noord-Brabant
Oldambt,Oldambt,Gemeente,GM1895,Oldambt,PV20,Groningen
Oldebroek,Oldebroek,Gemeente,GM0269,Oldebroek,PV25,Gelderland
Oldenzaal,Oldenzaal,Gemeente,GM0173,Oldenzaal,PV23,Overijssel
Olst-Wijhe,Olst-Wijhe,Gemeente,GM1773,Olst-Wijhe,PV23,Overijssel
Ommen,Ommen,Gemeente,GM0175,Ommen,PV23,Overijssel
Oost Gelre,Oost Gelre,Gemeente,GM1586,Oost Gelre,PV25,Gelderland
Oosterhout,Oosterhout,Gemeente,GM0826,Oosterhout,PV30,Noord-Brabant
Ooststellingwerf,Ooststellingwerf,Gemeente,GM0085,Ooststellingwerf,PV21,Fryslân
Oostzaan,Oostzaan,Gemeente,GM0431,Oostzaan,PV27,Noord-Holland
Opmeer,Opmeer,Gemeente,GM0432,Opmeer,PV27,Noord-Holland
Opsterland,Opsterland,Gemeente,GM0086,Opsterland,PV21,Fryslân
Oss,Oss,Gemeente,GM0828,Oss,PV30,Noord-Brabant
Oude IJsselstreek,Oude IJsselstreek,Gemeente,GM1509,Oude IJsselstreek,PV25,Gelderland
Ouder-Amstel,Ouder-Amstel,Gemeente,GM0437,Ouder-Amstel,PV27,Noord-Holland
Oudewater,Oudewater,Gemeente,GM0589,Oudewater,PV26,Utrecht
Overbetuwe,Overbetuwe,Gemeente,GM1734,Overbetuwe,PV25,Gelderland
Papendrecht,Papendrecht,Gemeente,GM0590,Papendrecht,PV28,Zuid-Holland
Peel en Maas,Peel en Maas,Gemeente,GM1894,Peel en Maas,PV31,Limburg
Pekela,Pekela,Gemeente,GM0765,Pekela,PV20,Groningen
Pijnacker-Nootdorp,Pijnacker-Nootdorp,Gemeente,GM1926,Pijnacker-Nootdorp,PV28,Zuid-Holland
Purmerend,Purmerend,Gemeente,GM0439,Purmerend,PV27,Noord-Holland
Putten,Putten,Gemeente,GM0273,Putten,PV25,Gelderland
Raalte,Raalte,Gemeente,GM0177,Raalte,PV23,Overijssel
Reimerswaal,Reimerswaal,Gemeente,GM0703,Reimerswaal,PV29,Zeeland
Renkum,Renkum,Gemeente,GM0274,Renkum,PV25,Gelderland
Renswoude,Renswoude,Gemeente,GM0339,Renswoude,PV26,Utrecht
Reusel-De Mierden,Reusel-De Mierden,Gemeente,GM1667,Reusel-De Mierden,PV30,Noord-Brabant
Rheden,Rheden,Gemeente,GM0275,Rheden,PV25,Gelderland
Rhenen,Rhenen,Gemeente,GM0340,Rhenen,PV26,Utrecht
Ridderkerk,Ridderkerk,Gemeente,GM0597,Ridderkerk,PV28,Zuid-Holland
Rijssen-Holten,Rijssen-Holten,Gemeente,GM1742,Rijssen-Holten,PV23,Overijssel
Rijswijk,Rijswijk,Gemeente,GM0603,Rijswijk,PV28,Zuid-Holland
Roerdalen,Roerdalen,Gemeente,GM1669,Roerdalen,PV31,Limburg
Roermond,Roermond,Gemeente,GM0957,Roermond,PV31,Limburg
De Ronde Venen,De Ronde Venen,Gemeente,GM0736,De Ronde Venen,PV26,Utrecht
Roosendaal,Roosendaal,Gemeente,GM1674,Roosendaal,PV30,Noord-Brabant
Rotterdam,Rotterdam,Gemeente,GM0599,Rotterdam,PV28,Zuid-Holland
Rozendaal,Rozendaal,Gemeente,GM0277,Rozendaal,PV25,Gelderland
Rucphen,Rucphen,Gemeente,GM0840,Rucphen,PV30,Noord-Brabant
Schagen,Schagen,Gemeente,GM0441,Schagen,PV27,Noord-Holland
Scherpenzeel,Scherpenzeel,Gemeente,GM0279,Scherpenzeel,PV25,Gelderland
Schiedam,Schiedam,Gemeente,GM0606,Schiedam,PV28,Zuid-Holland
Schiermonnikoog,Schiermonnikoog,Gemeente,GM0088,Schiermonnikoog,PV21,Fryslân
Schouwen-Duiveland,Schouwen-Duiveland,Gemeente,GM1676,Schouwen-Duiveland,PV29,Zeeland
Simpelveld,Simpelveld,Gemeente,GM0965,Simpelveld,PV31,Limburg
Sint-Michielsgestel,Sint-Michielsgestel,Gemeente,GM0845,Sint-Michielsgestel,PV30,Noord-Brabant
Sittard-Geleen,Sittard-Geleen,Gemeente,GM1883,Sittard-Geleen,PV31,Limburg
Sliedrecht,Sliedrecht,Gemeente,GM0610,Sliedrecht,PV28,Zuid-Holland
Sluis,Sluis,Gemeente,GM1714,Sluis,PV29,Zeeland
Smallingerland,Smallingerland,Gemeente,GM0090,Smallingerland,PV21,Fryslân
Soest,Soest,Gemeente,GM0342,Soest,PV26,Utrecht
Someren,Someren,Gemeente,GM0847,Someren,PV30,Noord-Brabant
Son en Breugel,Son en Breugel,Gemeente,GM0848,Son en Breugel,PV30,Noord-Brabant
Stadskanaal,Stadskanaal,Gemeente,GM0037,Stadskanaal,PV20,Groningen
Staphorst,Staphorst,Gemeente,GM0180,Staphorst,PV23,Overijssel
Stede Broec,Stede Broec,Gemeente,GM0532,Stede Broec,PV27,Noord-Holland
Steenbergen,Steenbergen,Gemeente,GM0851,Steenbergen,PV30,Noord-Brabant
Steenwijkerland,Steenwijkerland,Gemeente,GM1708,Steenwijkerland,PV23,Overijssel
Stein,Stein,Gemeente,GM0971,Stein,PV31,Limburg
Stichtse Vecht,Stichtse Vecht,Gemeente,GM1904,Stichtse Vecht,PV26,Utrecht
Súdwest-Fryslân,Súdwest-Fryslân,Gemeente,GM1900,Súdwest-Fryslân,PV21,Fryslân
Terneuzen,Terneuzen,Gemeente,GM0715,Terneuzen,PV29,Zeeland
Terschelling,Terschelling,Gemeente,GM0093,Terschelling,PV21,Fryslân
Texel,Texel,Gemeente,GM0448,Texel,PV27,Noord-Holland
Teylingen,Teylingen,Gemeente,GM1525,Teylingen,PV28,Zuid-Holland
Tholen,Tholen,Gemeente,GM0716,Tholen,PV29,Zeeland
Tiel,Tiel,Gemeente,GM0281,Tiel,PV25,Gelderland
Tilburg,Tilburg,Gemeente,GM0855,Tilburg,PV30,Noord-Brabant
Tubbergen,Tubbergen,Gemeente,GM0183,Tubbergen,PV23,Overijssel
Twenterand,Twenterand,Gemeente,GM1700,Twenterand,PV23,Overijssel
Tynaarlo,Tynaarlo,Gemeente,GM1730,Tynaarlo,PV22,Drenthe
Tytsjerksteradiel,Tytsjerksteradiel,Gemeente,GM0737,Tytsjerksteradiel,PV21,Fryslân
Uitgeest,Uitgeest,Gemeente,GM0450,Uitgeest,PV27,Noord-Holland
Uithoorn,Uithoorn,Gemeente,GM0451,Uithoorn,PV27,Noord-Holland
Urk,Urk,Gemeente,GM0184,Urk,PV24,Flevoland
Utrecht,Utrecht,Gemeente,GM0344,Utrecht,PV26,Utrecht
Utrechtse Heuvelrug,Utrechtse Heuvelrug,Gemeente,GM1581,Utrechtse Heuvelrug,PV26,Utrecht
Vaals,Vaals,Gemeente,GM0981,Vaals,PV31,Limburg
Valkenburg aan de Geul,Valkenburg aan de Geul,Gemeente,GM0994,Valkenburg aan de Geul,PV31,Limburg
Valkenswaard,Valkenswaard,Gemeente,GM0858,Valkenswaard,PV30,Noord-Brabant
Veendam,Veendam,Gemeente,GM0047,Veendam,PV20,Groningen
Veenendaal,Veenendaal,Gemeente,GM0345,Veenendaal,PV26,Utrecht
Veere,Veere,Gemeente,GM0717,Veere,PV29,Zeeland
Veldhoven,Veldhoven,Gemeente,GM0861,Veldhoven,PV30,Noord-Brabant
Velsen,Velsen,Gemeente,GM0453,Velsen,PV27,Noord-Holland
Venlo,Venlo,Gemeente,GM0983,Venlo,PV31,Limburg
Venray,Venray,Gemeente,GM0984,Venray,PV31,Limburg
Vijfheerenlanden,Vijfheerenlanden,Gemeente,GM1961,Vijfheerenlanden,PV26,Utrecht
Vlaardingen,Vlaardingen,Gemeente,GM0622,Vlaardingen,PV28,Zuid-Holland
Vlieland,Vlieland,Gemeente,GM0096,Vlieland,PV21,Fryslân
Vlissingen,Vlissingen,Gemeente,GM0718,Vlissingen,PV29,Zeeland
Voerendaal,Voerendaal,Gemeente,GM0986,Voerendaal,PV31,Limburg
Voorne aan Zee,Voorne aan Zee,Gemeente,GM1992,Voorne aan Zee,PV28,Zuid-Holland
Voorschoten,Voorschoten,Gemeente,GM0626,Voorschoten,PV28,Zuid-Holland
Voorst,Voorst,Gemeente,GM0285,Voorst,PV25,Gelderland
Vught,Vught,Gemeente,GM0865,Vught,PV30,Noord-Brabant
Waadhoeke,Waadhoeke,Gemeente,GM1949,Waadhoeke,PV21,Fryslân
Waalre,Waalre,Gemeente,GM0866,Waalre,PV30,Noord-Brabant
Waalwijk,Waalwijk,Gemeente,GM0867,Waalwijk,PV30,Noord-Brabant
Waddinxveen,Waddinxveen,Gemeente,GM0627,Waddinxveen,PV28,Zuid-Holland
Wageningen,Wageningen,Gemeente,GM0289,Wageningen,PV25,Gelderland
Wassenaar,Wassenaar,Gemeente,GM0629,Wassenaar,PV28,Zuid-Holland
Waterland,Waterland,Gemeente,GM0852,Waterland,PV27,Noord-Holland
Weert,Weert,Gemeente,GM0988,Weert,PV31,Limburg
West Betuwe,West Betuwe,Gemeente,GM1960,West Betuwe,PV25,Gelderland
West Maas en Waal,West Maas en Waal,Gemeente,GM0668,West Maas en Waal,PV25,Gelderland
Westerkwartier,Westerkwartier,Gemeente,GM1969,Westerkwartier,PV20,Groningen
Westerveld,Westerveld,Gemeente,GM1701,Westerveld,PV22,Drenthe
Westervoort,Westervoort,Gemeente,GM0293,Westervoort,PV25,Gelderland
Westerwolde,Westerwolde,Gemeente,GM1950,Westerwolde,PV20,Groningen
Westland,Westland,Gemeente,GM1783,Westland,PV28,Zuid-Holland
Weststellingwerf,Weststellingwerf,Gemeente,GM0098,Weststellingwerf,PV21,Fryslân
Wierden,Wierden,Gemeente,GM0189,Wierden,PV23,Overijssel
Wijchen,Wijchen,Gemeente,GM0296,Wijchen,PV25,Gelderland
Wijdemeren,Wijdemeren,Gemeente,GM1696,Wijdemeren,PV27,Noord-Holland
Wijk bij Duurstede,Wijk bij Duurstede,Gemeente,GM0352,Wijk bij Duurstede,PV26,Utrecht
Winterswijk,Winterswijk,Gemeente,GM0294,Winterswijk,PV25,Gelderland
Woensdrecht,Woensdrecht,Gemeente,GM0873,Woensdrecht,PV30,Noord-Brabant
Woerden,Woerden,Gemeente,GM0632,Woerden,PV26,Utrecht
De Wolden,De Wolden,Gemeente,GM1690,De Wolden,PV22,Drenthe
Wormerland,Wormerland,Gemeente,GM0880,Wormerland,PV27,Noord-Holland
Woudenberg,Woudenberg,Gemeente,GM0351,Woudenberg,PV26,Utrecht
Zaanstad,Zaanstad,Gemeente,GM0479,Zaanstad,PV27,Noord-Holland
Zaltbommel,Zaltbommel,Gemeente,GM0297,Zaltbommel,PV25,Gelderland
Zandvoort,Zandvoort,Gemeente,GM0473,Zandvoort,PV27,Noord-Holland
Zeewolde,Zeewolde,Gemeente,GM0050,Zeewolde,PV24,Flevoland
Zeist,Zeist,Gemeente,GM0355,Zeist,PV26,Utrecht
Zevenaar,Zevenaar,Gemeente,GM0299,Zevenaar,PV25,Gelderland
Zoetermeer,Zoetermeer,Gemeente,GM0637,Zoetermeer,PV28,Zuid-Holland
Zoeterwoude,Zoeterwoude,Gemeente,GM0638,Zoeterwoude,PV28,Zuid-Holland
Zuidplas,Zuidplas,Gemeente,GM1892,Zuidplas,PV28,Zuid-Holland
Zundert,Zundert,Gemeente,GM0879,Zundert,PV30,Noord-Brabant
Zutphen,Zutphen,Gemeente,GM0301,Zutphen,PV25,Gelderland
Zwartewaterland,Zwartewaterland,Gemeente,GM1896,Zwartewaterland,PV23,Overijssel
Zwijndrecht,Zwijndrecht,Gemeente,GM0642,Zwijndrecht,PV28,Zuid-Holland
Zwolle,Zwolle,Gemeente,GM0193,Zwolle,PV23,Overijssel
